is_genuine,diagonal,height_left,height_right,margin_low,margin_up,length
True,0.3908629441624498,0.988505747126446,1.0,0.6550724637681159,0.378048780487805,0.6747474747474769
True,0.21319796954315962,0.12643678160920047,0.3943661971830963,0.5463768115942029,0.4390243902439026,0.7272727272727302
True,0.8375634517766599,0.7701149425287426,0.31924882629108,0.6376811594202899,0.4085365853658538,0.7414141414141397
True,0.1624365482233685,0.4425287356321874,0.5258215962441284,0.5246376811594203,0.4512195121951219,0.8121212121212125
True,0.35025380710659704,0.6551724137931103,0.30046948356807235,0.5855072463768116,0.7378048780487807,0.6161616161616195
True,0.5736040609137092,0.3448275862068968,0.591549295774648,0.6405797101449275,0.41463414634146356,0.6707070707070706
True,0.6598984771573697,0.5977011494252977,0.4835680751173683,0.663768115942029,0.6036585365853657,0.6707070707070706
True,0.426395939086305,0.356321839080465,0.591549295774648,0.5768115942028985,0.3963414634146343,0.7252525252525253
True,0.725888324873111,0.44827586206896797,0.3990610328638553,0.5797101449275363,0.5975609756097562,0.6787878787878796
True,0.725888324873111,0.5344827586206904,0.5633802816901436,0.5855072463768116,0.5975609756097562,0.8000000000000007
True,0.40101522842641657,0.5747126436781684,0.37558685446009576,0.4579710144927537,0.5548780487804879,0.7535353535353551
True,0.40609137055838573,0.8333333333333428,0.5539906103286398,0.5623188405797102,0.6097560975609757,0.7252525252525253
True,0.4314720812182742,0.4310344827586263,0.2723004694835751,0.5956521739130436,0.4207317073170733,0.7575757575757578
True,0.5888324873096451,0.6954022988505741,0.3990610328638553,0.6434782608695653,0.6768292682926831,0.8404040404040423
True,0.5177664974619347,0.41954022988506523,0.4741784037558716,0.5927536231884057,0.3963414634146343,0.7474747474747474
True,0.35025380710659704,0.44827586206896797,0.43192488262910445,0.6420289855072464,0.3109756097560976,0.705050505050508
True,0.13197969543148247,0.6034482758620712,0.4131455399061039,0.5971014492753624,0.33536585365853666,0.6828282828282859
True,0.426395939086305,0.764367816091962,0.29577464788732755,0.6608695652173913,0.646341463414634,0.7111111111111121
True,0.725888324873111,0.4310344827586263,0.6197183098591594,0.5420289855072464,0.6158536585365852,0.8040404040404034
True,0.43654822335027177,0.30459770114943296,0.15492957746479163,0.6594202898550725,0.5365853658536586,0.7333333333333343
True,0.42131979695432165,0.4425287356321874,0.5352112676056322,0.5420289855072464,0.4268292682926831,0.8282828282828305
True,0.395939086294419,0.29310344827587187,0.3849765258215996,0.6159420289855073,0.32317073170731714,0.62222222222222
True,0.538071065989854,0.47126436781609016,0.41784037558685583,0.5695652173913044,0.378048780487805,0.6444444444444457
